Name,Country,Industry,mvUsd
Achilles Corp,Japan,Basic Materials,1361122
Ackermans & van Haaren NV,Belgium,Financials,97417252
Aclara Resources Inc,United Kingdom,Basic Materials,70397
Acom Co Ltd,Japan,Financials,13816133
Acrow Formwork and Construction Services Ltd,Australia,Basic Materials,3325058
Acter Group Corp Ltd,Taiwan,Industrials,5073009
Actia Group,France,Industrials,485502
Activia Properties Inc,Japan,Real Estate,34374673
Activision Blizzard Inc,United States,Consumer Discretionary,772526525
Actron Technology Corp,Taiwan,Consumer Discretionary,3255584
Acuity Brands Inc,United States,Industrials,56733680
Acushnet Holdings Corp,United States,Consumer Discretionary,16261288
Adairs Ltd,Australia,Consumer Discretionary,2024328
Adani Green Energy Ltd,India,Utilities,52673227
Adani Ports & Special Economic Zone Ltd,India,Industrials,63434653
Adani Total Gas Ltd,India,Industrials,83594914
AdaptHealth Corp,United States,Health Care,11057151
Adaptive Biotechnologies Corp,United States,Health Care,8252888
Adaro Minerals Indonesia Tbk PT,Indonesia,Energy,6910976
Adastria Co Ltd,Japan,Consumer Discretionary,5167549
Adbri Ltd,Australia,Industrials,5188923
AddLife AB,Sweden,Health Care,28809513
AddTech AB,Sweden,Industrials,69993509
Addnode Group AB,Sweden,Technology,8241632
Adecco Group AG,Switzerland,Industrials,146261005
Adeia Inc,United States,Technology,10154938
Adesso SE,Germany,Technology,10647387
Adi Sarana Armada Tbk PT,Indonesia,Consumer Discretionary,4114584
Adient PLC,United States,Consumer Discretionary,29589321
Adimmune Corp,Taiwan,Health Care,125093
Aditya Birla Capital Ltd,India,Financials,7104970
Aditya Birla Fashion and Retail Ltd,India,Consumer Discretionary,8702934
Aditya Birla Sun Life Asset Management Co Ltd,India,Financials,18396328
Adlink Technology Inc,Taiwan,Technology,264313
Admiral Group PLC,United Kingdom,Financials,177711021
Adobe Inc,United States,Technology,1734180147
Adrad Holdings Ltd,Australia,Industrials,1751453
Adris Grupa DD,Croatia,Consumer Staples,7207145
Adtalem Global Education Inc,United States,Consumer Discretionary,12885009
Advan Group Co Ltd,Japan,Industrials,1921128
Advance Auto Parts Inc,United States,Consumer Discretionary,94951092
Advance Logistics Investment Corp,Japan,Real Estate,7830142
Advance Residence Investment Corp,Japan,Real Estate,55295452
Advanced Ceramic X Corp,Taiwan,Technology,4085178
Advanced Drainage Systems Inc,United States,Industrials,40774173
Advanced Energy Industries Inc,United States,Technology,32189803
Advanced Energy Solution Holding Co Ltd,Taiwan,Industrials,4497893
Advanced Info Service PCL,Thailand,Telecommunications,65390822
Advanced International Multitech Co Ltd,Taiwan,Consumer Discretionary,6501787
Advanced Lithium Electrochemistry Cayman Co Ltd,Taiwan,Industrials,2382170
Advanced Micro Devices Inc,United States,Technology,1247456015
Advanced Nano Products Co Ltd,South Korea,Basic Materials,4215521
Advanced Process Systems Corp,South Korea,Technology,1368087
Advanced Wireless Semiconductor Co,Taiwan,Technology,3720056
Advantech Co Ltd,Taiwan,Technology,71438697
Advantest Corp,Japan,Technology,194858385
Adventure Inc,Japan,Consumer Discretionary,4487203
Advtech Ltd,South Africa,Consumer Discretionary,16790309
Adyen NV,Netherlands,Industrials,897908445
Aecon Group Inc,Canada,Industrials,3453261
